mdel|util|4.0|72K|Delete file on FAT image|util-mdel-4.0.zip|none
mmd|util|4.0|72K|Make directory on FAT image|util-mmd-4.0.zip|none
mrd|util|4.0|72K|Remove directory on FAT image|util-mrd-4.0.zip|none
mren|util|4.0|72K|Rename file on FAT image|util-mren-4.0.zip|none
mmove|util|4.0|72K|Move file on FAT image|util-mmove-4.0.zip|none
mattrib|util|4.0|72K|Change FAT attributes|util-mattrib-4.0.zip|none
minfo|util|4.0|72K|FAT filesystem info|util-minfo-4.0.zip|none
mkfs.fat|sys|4.2|24K|Create FAT filesystem|util-mkfs.fat-4.2.zip|none
fsck.fat|sys|4.2|33K|Check FAT filesystem|util-fsck.fat-4.2.zip|none
fatlabel|sys|4.2|20K|Label FAT volume|util-fatlabel-4.2.zip|none
mkfs.vfat|sys|4.2|24K|Create VFAT filesystem|util-mkfs.vfat-4.2.zip|none
fsck.vfat|sys|4.2|33K|Check VFAT filesystem|util-fsck.vfat-4.2.zip|none
ndisasm|dev|2.16|150K|x86 disassembler|util-ndisasm-2.16.zip|none
recode|util|3.6|690K|Charset conversion|util-recode-3.6.zip|none
minicom|net|2.8|80K|Serial terminal (ncursesw)|util-minicom-2.8.zip|none
cabextract|archive|1.11|30K|Extract Microsoft CAB files|util-cabextract-1.11.zip|none
nomarch|archive|1.4|8.2K|Extract DOS ARC archives|util-nomarch-1.4.zip|none
cpmcp|util|2.20|19K|Copy files on CP/M disk|util-cpmcp-2.20.zip|none
cpmls|util|2.20|21K|List CP/M directory|util-cpmls-2.20.zip|none
cpmrm|util|2.20|17K|Remove CP/M file|util-cpmrm-2.20.zip|none
cpmchmod|util|2.20|17K|Change CP/M file mode|util-cpmchmod-2.20.zip|none
cpmchattr|util|2.20|18K|Change CP/M attributes|util-cpmchattr-2.20.zip|none
mkfs.cpm|sys|2.20|18K|Create CP/M filesystem|util-mkfs.cpm-2.20.zip|none
fsck.cpm|sys|2.20|22K|Check CP/M filesystem|util-fsck.cpm-2.20.zip|none
hmount|util|3.2.6|46K|Mount HFS volume|util-hmount-3.2.6.zip|none
humount|util|3.2.6|46K|Unmount HFS volume|util-humount-3.2.6.zip|none
hcopy|util|3.2.6|46K|Copy files on HFS|util-hcopy-3.2.6.zip|none
hdir|util|3.2.6|46K|List HFS directory|util-hdir-3.2.6.zip|none
hls|util|3.2.6|46K|List HFS files|util-hls-3.2.6.zip|none
hpwd|util|3.2.6|46K|Print HFS working dir|util-hpwd-3.2.6.zip|none
hvol|util|3.2.6|46K|Show HFS volume name|util-hvol-3.2.6.zip|none
hformat|util|3.2.6|46K|Format HFS volume|util-hformat-3.2.6.zip|none
hattrib|util|3.2.6|46K|Change HFS attributes|util-hattrib-3.2.6.zip|none
macunpack|archive|2.0|40K|Unpack Mac archives|util-macunpack-2.0.zip|none
hexbin|archive|2.0|17K|Hex/BinHex converter|util-hexbin-2.0.zip|none
macsave|archive|2.0|8.8K|Mac archive save|util-macsave-2.0.zip|none
macstream|archive|2.0|9.8K|Mac stream decoder|util-macstream-2.0.zip|none
binhex|archive|2.0|11K|BinHex encoder/decoder|util-binhex-2.0.zip|none
tomac|archive|2.0|11K|Convert to Mac format|util-tomac-2.0.zip|none
frommac|archive|2.0|8.8K|Convert from Mac format|util-frommac-2.0.zip|none
macbin|archive|2.0|40K|MacBinary handler|util-macbin-2.0.zip|none
lessecho|util|661|103K|Helper for less pager|util-lessecho-661.zip|none
